subject_key,site,radius_mm,volume_fraction_retained,volume_fraction_removed
training_Singapore_Singapore_64,Singapore,1.0,0.8059646539027983,0.19403534609720174
training_Singapore_Singapore_64,Singapore,2.0,0.5060751104565537,0.49392488954344627
training_Singapore_Singapore_64,Singapore,3.0,0.26435935198821797,0.7356406480117821
training_Singapore_Singapore_65,Singapore,1.0,0.7831924415713575,0.21680755842864252
training_Singapore_Singapore_65,Singapore,2.0,0.46759489474556604,0.532405105254434
training_Singapore_Singapore_65,Singapore,3.0,0.15266036797613128,0.8473396320238687
training_Singapore_Singapore_66,Singapore,1.0,0.6901655795283492,0.3098344204716508
training_Singapore_Singapore_66,Singapore,2.0,0.35223281485198193,0.647767185148018
training_Singapore_Singapore_66,Singapore,3.0,0.13196186653286504,0.868038133467135
training_Singapore_Singapore_68,Singapore,1.0,0.8419934640522876,0.1580065359477124
training_Singapore_Singapore_68,Singapore,2.0,0.6049019607843137,0.3950980392156863
training_Singapore_Singapore_68,Singapore,3.0,0.3994281045751634,0.6005718954248366
training_Utrecht_Utrecht_0,Utrecht,1.0,0.7374117110959216,0.26258828890407837
training_Utrecht_Utrecht_0,Utrecht,2.0,0.38266119845067215,0.6173388015493279
training_Utrecht_Utrecht_0,Utrecht,3.0,0.11984506721348827,0.8801549327865117
training_Utrecht_Utrecht_11,Utrecht,1.0,0.21364653243847875,0.7863534675615212
training_Utrecht_Utrecht_11,Utrecht,2.0,0.0,1.0
training_Utrecht_Utrecht_11,Utrecht,3.0,0.0,1.0
training_Utrecht_Utrecht_17,Utrecht,1.0,0.31053459119496857,0.6894654088050314
training_Utrecht_Utrecht_17,Utrecht,2.0,0.0,1.0
training_Utrecht_Utrecht_17,Utrecht,3.0,0.0,1.0
training_Utrecht_Utrecht_2,Utrecht,1.0,0.7844674930432582,0.21553250695674175
training_Utrecht_Utrecht_2,Utrecht,2.0,0.4855384096466818,0.5144615903533182
training_Utrecht_Utrecht_2,Utrecht,3.0,0.2665486128678641,0.733451387132136
training_Utrecht_Utrecht_21,Utrecht,1.0,0.7358385988249639,0.26416140117503606
training_Utrecht_Utrecht_21,Utrecht,2.0,0.34741159516683295,0.652588404833167
training_Utrecht_Utrecht_21,Utrecht,3.0,0.13867642168274028,0.8613235783172597
training_Utrecht_Utrecht_23,Utrecht,1.0,0.02710843373493976,0.9728915662650602
training_Utrecht_Utrecht_23,Utrecht,2.0,0.0,1.0
training_Utrecht_Utrecht_23,Utrecht,3.0,0.0,1.0
training_Utrecht_Utrecht_25,Utrecht,1.0,0.8304929658012123,0.16950703419878765
training_Utrecht_Utrecht_25,Utrecht,2.0,0.5749742651263868,0.42502573487361317
training_Utrecht_Utrecht_25,Utrecht,3.0,0.2819398375843532,0.7180601624156469
training_Utrecht_Utrecht_29,Utrecht,1.0,0.8653774406168387,0.13462255938316126
training_Utrecht_Utrecht_29,Utrecht,2.0,0.6603656261658998,0.3396343738341002
training_Utrecht_Utrecht_29,Utrecht,3.0,0.42339261285909713,0.5766073871409029
training_Utrecht_Utrecht_31,Utrecht,1.0,0.8843487778183144,0.11565122218168555
training_Utrecht_Utrecht_31,Utrecht,2.0,0.6769629899874336,0.32303701001256635
training_Utrecht_Utrecht_31,Utrecht,3.0,0.4898455551501885,0.5101544448498114
training_Utrecht_Utrecht_35,Utrecht,1.0,0.23151750972762647,0.7684824902723735
training_Utrecht_Utrecht_35,Utrecht,2.0,0.0,1.0
training_Utrecht_Utrecht_35,Utrecht,3.0,0.0,1.0
training_Utrecht_Utrecht_37,Utrecht,1.0,0.8740171945036374,0.12598280549636265
training_Utrecht_Utrecht_37,Utrecht,2.0,0.6431773091336616,0.35682269086633844
training_Utrecht_Utrecht_37,Utrecht,3.0,0.37853626276728636,0.6214637372327136
training_Utrecht_Utrecht_39,Utrecht,1.0,0.8783205830974038,0.1216794169025962
training_Utrecht_Utrecht_39,Utrecht,2.0,0.7154388289862057,0.2845611710137943
training_Utrecht_Utrecht_39,Utrecht,3.0,0.5446659839768688,0.45533401602313117
training_Utrecht_Utrecht_4,Utrecht,1.0,0.7841452612931799,0.21585473870682015
training_Utrecht_Utrecht_4,Utrecht,2.0,0.49654561558901683,0.5034543844109831
training_Utrecht_Utrecht_4,Utrecht,3.0,0.24853852967227635,0.7514614703277236
training_Utrecht_Utrecht_41,Utrecht,1.0,0.8519478348102324,0.1480521651897676
training_Utrecht_Utrecht_41,Utrecht,2.0,0.6128573817087444,0.3871426182912556
training_Utrecht_Utrecht_41,Utrecht,3.0,0.3255308476843337,0.6744691523156663
training_Utrecht_Utrecht_49,Utrecht,1.0,0.7214848610535047,0.27851513894649527
training_Utrecht_Utrecht_49,Utrecht,2.0,0.39755288262131894,0.6024471173786811
training_Utrecht_Utrecht_49,Utrecht,3.0,0.12401493156366653,0.8759850684363335
training_Utrecht_Utrecht_8,Utrecht,1.0,0.1684981684981685,0.8315018315018314
training_Utrecht_Utrecht_8,Utrecht,2.0,0.0,1.0
training_Utrecht_Utrecht_8,Utrecht,3.0,0.0,1.0
